"Sample_ID,Target_Load_P*_kN,TNN_Material,TNN_CrossSection,TNN_Length_m,TNN_Thickness_m,TNN_FoS,FEA_Applied_Load_N,FEA_Applied_Load_kN,FEA_Min_SafetyFactor,FEA_Max_VonMises_MPa,FEA_Max_Deflection_mm,FEA_Allowable_Deflection_mm,FEA_Capacity_P_FEA_kN,FEA_vs_Target_Error_pct,TNN_Physics_Load_kN,TNN_vs_Target_Error_pct,FEA_Pass_Fail"
"INV-01,1.0,Aluminum,Circular,12.143,0.1227,2.57,11104.5,11.104,4.1,67.13,68.9,33.73,45.528,4452.8,11.105,1010.45,FAIL (Deflection)"
"INV-02,1.373,Aluminum,Circular,12.091,0.1276,2.57,13091.5,13.091,2.01,136.68,560.51,33.59,26.314,1816.53,13.091,853.78,FAIL (Deflection)"
"INV-03,1.884,Aluminum,Circular,12.117,0.1373,2.57,17509.5,17.509,1.87,147.14,562.88,33.66,32.743,1637.95,17.509,829.37,FAIL (Deflection)"
"INV-04,2.586,Aluminum,Circular,12.237,0.1523,2.57,25973.4,25.973,1.72,159.78,565.68,33.99,44.674,1627.53,25.973,904.38,FAIL (Deflection)"
"INV-05,3.55,Steel,Circular,12.381,0.1679,2.58,108707.7,108.708,0.41,500.18,544.46,34.39,44.57,1155.49,108.708,2962.59,FAIL (Stress+Deflection)"
"INV-06,4.872,Steel,Circular,12.413,0.179,2.59,139404.3,139.404,0.39,527.89,541.9,34.48,54.368,1015.93,139.404,2761.29,FAIL (Stress+Deflection)"
"INV-07,6.687,Steel,Circular,12.371,0.1895,2.6,166261.9,166.262,0.38,540.81,505.67,34.36,63.18,844.82,166.262,2386.2,FAIL (Stress+Deflection)"
"INV-08,9.179,Steel,Circular,12.24,0.2037,2.6,208409.7,208.41,0.39,530.99,457.55,34.0,81.28,785.5,208.41,2170.48,FAIL (Stress+Deflection)"
"INV-09,12.599,Steel,Rectangular,12.081,0.2191,2.6,222854.3,222.854,1.02,202.41,197.25,33.56,227.311,1704.2,222.854,1668.8,FAIL (Stress+Deflection)"
"INV-10,17.294,Steel,Rectangular,11.969,0.2389,2.59,293316.8,293.317,1.02,202.96,178.8,33.25,299.183,1629.98,293.317,1596.1,FAIL (Stress+Deflection)"
"INV-11,23.737,Steel,Rectangular,11.819,0.2645,2.53,412055.8,412.056,1.24,166.91,151.25,32.83,510.949,2052.54,412.056,1635.91,FAIL (Stress+Deflection)"
"INV-12,32.582,Steel,Rectangular,11.547,0.284,2.46,536849.8,536.85,1.17,177.74,138.56,32.08,628.114,1827.79,536.85,1547.71,FAIL (Stress+Deflection)"
"INV-13,44.721,Steel,Rectangular,11.303,0.2919,2.43,604538.5,604.538,1.17,176.79,131.0,31.4,707.31,1481.61,604.538,1251.79,FAIL (Stress+Deflection)"
"INV-14,61.384,Steel,Rectangular,11.177,0.297,2.41,649371.4,649.371,1.17,177.22,126.85,31.05,759.765,1137.72,649.371,957.88,FAIL (Stress+Deflection)"
"INV-15,84.256,Steel,Rectangular,11.078,0.3046,2.39,710474.1,710.474,1.16,178.16,122.18,30.77,824.15,878.15,710.474,743.23,FAIL (Stress+Deflection)"
"INV-16,115.649,Steel,Rectangular,10.775,0.3166,2.39,821227.7,821.228,1.17,176.39,111.45,29.93,960.836,730.82,821.228,610.1,FAIL (Stress+Deflection)"
"INV-17,158.74,Steel,Rectangular,10.372,0.3244,2.39,917497.7,917.498,1.13,182.76,101.08,28.81,1036.772,553.13,917.498,477.99,FAIL (Stress+Deflection)"
"INV-18,217.886,Steel,Rectangular,10.126,0.333,2.4,1010986.9,1010.987,1.13,182.87,93.4,28.13,1142.415,424.32,1010.987,364.0,FAIL (Stress+Deflection)"
"INV-19,299.07,Aluminum,Rectangular,9.948,0.3435,2.42,862978.7,862.979,2.02,135.81,200.51,27.63,1743.217,482.88,862.979,188.55,FAIL (Deflection)"
"INV-20,410.502,Aluminum,Rectangular,9.815,0.3534,2.43,993413.6,993.414,1.94,141.79,197.84,27.26,1927.222,369.48,993.414,142.0,FAIL (Deflection)"
"INV-21,563.454,Aluminum,Rectangular,9.698,0.364,2.45,1144948.6,1144.949,1.91,143.84,195.35,26.94,2186.852,288.12,1144.949,103.2,FAIL (Deflection)"
"INV-22,773.395,Aluminum,Rectangular,9.559,0.376,2.46,1341130.2,1341.13,1.77,155.07,193.14,26.55,2373.8,206.93,1341.13,73.41,FAIL (Deflection)"
"INV-23,1061.559,Aluminum,Rectangular,9.406,0.3886,2.47,1580296.8,1580.297,1.68,163.63,190.26,26.13,2654.899,150.09,1580.297,48.87,FAIL (Deflection)"
"INV-24,1457.092,Aluminum,Rectangular,9.083,0.3991,2.47,1885323.9,1885.324,1.58,173.48,184.03,25.23,2978.812,104.44,1885.324,29.39,FAIL (Deflection)"
"INV-25,2000.0,Aluminum,Box,8.51,0.4062,2.45,961165.1,961.165,3.54,77.7,72.11,23.64,3402.524,70.13,961.165,51.94,FAIL (Deflection)"
